Team,OverallW,OverallL,HomeW,HomeL,RoadW,RoadL,EastW,EastL,WestW,WestL,PreAllStarW,PreAllStarL,PostAllStarW,PostAllStarL,≤3MarginW,≤3MarginL,≥10MarginW,≥10MarginL,OctW,OctL,NovW,NovL,DecW,DecL,JanW,JanL,FebW,FebL,MarW,MarL
Carolina Cougars,47,37,29,13,18,24,29,15,18,22,33,23,14,14,8,11,24,16,8,4,11,4,6,7,8,8,9,7,5,7
Denver Rockets,37,47,24,18,13,29,17,23,20,24,23,26,14,21,5,8,20,19,5,4,7,7,5,7,6,8,8,10,6,11
Indiana Pacers,46,38,31,11,15,27,22,18,24,20,28,25,18,13,9,9,17,11,4,4,8,9,9,5,7,7,8,9,10,4
Kentucky Colonels,53,31,30,12,23,19,30,14,23,17,31,19,22,12,14,9,26,7,8,1,8,6,7,7,8,5,9,6,13,6
Memphis Tams,21,63,14,28,7,35,7,37,14,26,13,41,8,22,4,14,7,32,4,5,5,11,1,13,3,12,4,9,4,13
New York Nets,55,29,31,11,24,18,29,15,26,14,34,20,21,9,8,7,33,13,4,5,8,7,11,4,11,4,8,5,13,4
San Antonio Spurs,45,39,27,15,18,24,21,19,24,20,28,26,17,13,11,8,16,19,6,8,7,5,7,6,8,7,6,7,11,6
San Diego Conquistadors,37,47,20,22,17,25,23,17,14,30,22,35,15,12,9,10,15,21,3,6,6,9,9,8,4,12,8,3,7,9
Utah Stars,51,33,33,9,18,24,23,17,28,16,35,19,16,14,11,4,23,20,5,6,8,6,9,3,13,4,10,5,6,9
Virginia Squires,28,56,22,20,6,36,15,29,13,27,17,30,11,26,6,5,8,31,2,6,5,9,4,8,6,7,5,14,6,12
