Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Denver Nuggets,65-19,40-2,25-17,31-9,34-10,40-10,25-9,10-1,42-12,5-1,15-3,11-1,10-6,8-5,14-3,2-0
2,Kentucky Colonels,58-26,40-3,18-23,33-11,25-15,33-14,25-12,6-10,38-7,6-1,9-4,8-5,11-4,10-5,12-7,2-0
3,New York Nets,58-26,35-7,23-19,37-7,21-19,34-13,24-13,4-5,36-8,6-3,9-6,10-2,10-2,10-5,11-8,2-0
4,San Antonio Spurs,51-33,32-9,19-24,25-15,26-18,30-24,21-9,6-6,34-17,5-2,9-6,7-10,11-6,7-3,10-6,2-0
5,Indiana Pacers,45-39,31-11,14-28,25-15,20-24,23-25,22-14,5-9,25-18,1-4,7-8,6-6,10-7,8-5,13-6,0-3
6,Utah Stars,38-46,29-13,9-33,20-20,18-26,22-27,16-19,3-3,16-26,2-6,9-5,8-9,3-9,7-6,7-10,2-1
7,Spirits of St. Louis,32-52,23-19,9-33,17-27,15-25,20-30,12-22,4-2,13-31,3-6,6-10,5-8,6-8,4-11,6-8,2-1
8,San Diego Conquistadors,31-53,22-20,9-33,19-21,12-32,21-29,10-24,8-5,14-37,3-5,5-7,5-9,8-9,6-10,4-10,0-3
9,Memphis Sounds,27-57,17-25,10-32,16-28,11-29,14-35,13-22,5-7,7-31,2-5,4-12,3-9,5-10,6-9,6-10,1-2
10,Virginia Squires,15-69,11-31,4-38,7-37,8-32,9-39,6-30,5-8,5-43,3-3,2-14,4-8,1-14,4-11,1-16,0-3
